matriz,512,1024,2048,4096,8192
time 12 cores,0.2489941120147705,1.0424351692199707,4.52120304107666,23.68411898612976,151.629136800766
comms 12 cores,0.03299999237060547,0.17308545112609863,0.233842134475708,0.5631170272827148,0.43126511573791504
matriz,512,1024,2048,4096,8192
time 10 cores,0.23399877548217773,1.084995985031128,4.3482794761657715,23.74032950401306,147.82461214065552
comms 10 cores,0.03399968147277832,0.025999069213867188,0.35700345039367676,0.20800304412841797,3.1493582725524902
matriz,512,1024,2048,4096,8192
time 8 cores,0.2842855453491211,1.1020679473876953,4.363191843032837,22.750234842300415,144.15671944618225
comms 8 cores,0.01580333709716797,0.18735790252685547,0.8510363101959229,1.6867547035217285,2.7611165046691895
matriz,512,1024,2048,4096,8192
time 4 cores,0.31396937370300293,1.4218661785125732,6.711467266082764,34.42443895339966,200.20399570465088
comms 4 cores,0.016016006469726562,0.020999670028686523,0.012998819351196289,0.05733346939086914,0.2426748275756836
